Player_ID,Name,Base Price,Role_Auction,Price_Cr,Cost IN $ (000),Team,Role_Stats,ValueinCR,National Side,MatchPlayed,InningsBatted,NotOuts,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Cost_per_Run,Cost_per_Wicket,ROI,Price_z
1,rashid khan,Draft Pick,BOWLER,15.0,1950.0,Gujarat Titans,Bowler,15.0,Afghanistan,76,35,11,222,0,0,17,13,9.25,137.03,20,0,11,76,302.0,4,1912,93,10,0,20.55,6.33,19.48,76,0.07,0.16,162.4,2.5363367601735387
2,hardik pandya,Draft Pick,ALL-ROUNDER,15.0,1950.0,Gujarat Titans,All-Rounder,15.0,India,92,85,31,1476,0,4,97,98,27.33,153.91,53,0,5,60,144.5,0,1313,42,3,0,31.26,9.06,20.69,60,0.01,0.36,119.2,2.5363367601735387
3,lockie ferguson,2 Cr,BOWLER,10.0,1300.0,Gujarat Titans,Bowler,10.0,New Zealand,22,6,6,62,0,0,5,2,0.0,151.22,3,0,2,22,79.5,1,648,24,2,0,27.0,8.11,19.95,22,0.16,0.42,63.1,1.3939646629280018
4,rahul tewatia,40 Lakh,ALL-ROUNDER,9.0,1170.0,Gujarat Titans,All-Rounder,9.0,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,9.0,9.0,0.0,1.1654902434788943
5,shubman gill,Draft Pick,BATTER,8.0,1040.0,Gujarat Titans,Batsman,8.0,India,58,55,10,1417,0,10,137,36,31.48,123.0,23,0,2,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.01,8.0,88.56,0.937015824029787
6,yash dayal,20 Lakh,BOWLER,3.2,416.0,Gujarat Titans,Bowler,3.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,3.2,3.2,0.0,-0.1596613893259284
7,david miller,1 Cr,BATTER,3.0,390.0,Gujarat Titans,Batsman,3.0,South Africa,89,86,26,1974,1,10,137,90,32.9,136.51,53,0,3,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,3.0,329.0,-0.20535627321574992
8,matthew wade,2 Cr,WICKETKEEPER,2.4,312.0,Gujarat Titans,Wicket-Keeper,2.4,Australia,3,3,0,22,0,0,0,0,7.33,66.66,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.11,2.4,4.58,-0.3424409248852144
9,alzarri joseph,75 Lakh,BOWLER,2.4,312.0,Gujarat Titans,Bowler,2.4,West Indies,3,2,2,15,0,0,2,0,0.0,115.38,1,0,1,3,8.4,1,87,6,0,1,14.5,10.03,8.66,3,0.16,0.4,65.62,-0.3424409248852144
10,jason roy,2 Cr,BATTER,2.0,260.0,Gujarat Titans,Batsman,2.0,England,13,13,2,329,0,2,39,9,29.9,129.02,8,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.01,2.0,82.25,-0.43383069266485735
11,wriddhiman saha,1 Cr,WICKETKEEPER,1.9,247.0,Gujarat Titans,Wicket-Keeper,1.9,India,133,108,22,2110,1,8,191,69,24.53,128.73,69,20,6,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.9,555.26,-0.4566781346097681
12,jayant yadav,1 Cr,ALL-ROUNDER,1.7,221.0,Gujarat Titans,All-Rounder,1.7,India,19,5,1,40,0,0,2,1,10.0,111.11,6,0,1,19,61.0,0,419,8,0,0,52.37,6.86,45.75,19,0.04,0.21,129.41,-0.5023730184995896
13,vijay shankar,50 Lakh,ALL-ROUNDER,1.4,182.0,Gujarat Titans,All-Rounder,1.4,India,47,39,12,712,0,3,45,28,26.37,126.24,21,0,3,20,38.1,0,329,9,0,0,36.55,8.62,25.44,20,0.0,0.16,415.0,-0.5709153443343218
14,dominic drakes,75 Lakh,ALL-ROUNDER,1.1,143.0,Gujarat Titans,All-Rounder,1.1,West Indies,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,1.1,1.1,0.0,-0.639457670169054
15,varun aaron,50 Lakh,BOWLER,0.5,65.0,Gujarat Titans,Bowler,0.5,India,50,13,8,50,0,0,2,2,10.0,69.44,3,0,5,48,160.4,2,1429,42,1,0,34.02,8.89,22.95,48,0.01,0.01,2150.0,-0.7765423218385185
16,noor ahmad,30 Lakh,BOWLER,0.3,39.0,Gujarat Titans,Bowler,0.3,Afghanistan,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.3,0.3,0.0,-0.8222372057283399
17,darshan nalkande,20 Lakh,ALL-ROUNDER,0.2,26.0,Gujarat Titans,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
18,pradeep sangwan,20 Lakh,ALL-ROUNDER,0.2,26.0,Gujarat Titans,All-Rounder,0.2,India,39,14,7,24,0,0,1,0,3.42,61.53,6,0,6,39,133.4,1,1175,35,3,0,33.57,8.79,22.91,39,0.01,0.01,4435.0,-0.8450846476732506
19,ravindra jadeja,Retained,ALL-ROUNDER,16.0,2080.0,Chennai Super Kings,All-Rounder,16.0,India,200,151,63,2386,0,2,176,85,27.11,128.14,81,0,10,171,501.1,2,3816,127,8,1,30.04,7.61,23.67,171,0.01,0.13,273.0,2.764811179622646
20,deepak chahar,2 Cr,BOWLER,14.0,1820.0,Chennai Super Kings,Bowler,14.0,India,63,12,5,79,0,0,2,6,11.28,138.59,12,0,4,63,220.4,6,1722,59,3,0,29.18,7.8,22.44,63,0.18,0.24,108.18,2.3078623407244314
21,ms dhoni,Retained,WICKETKEEPER,12.0,1560.0,Chennai Super Kings,Wicket-Keeper,12.0,India,220,193,73,4746,0,23,325,219,39.55,135.83,126,39,5,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,12.0,197.75,1.8509135018262166
22,moeen ali,Retained,ALL-ROUNDER,8.0,1040.0,Chennai Super Kings,All-Rounder,8.0,England,34,32,3,666,0,4,52,42,22.96,146.37,11,0,4,27,68.3,0,469,16,1,0,29.31,6.84,25.68,27,0.01,0.5,91.62,0.937015824029787
23,ambati rayudu,2 Cr,WICKETKEEPER,6.75,877.5,Chennai Super Kings,Wicket-Keeper,6.75,India,175,164,31,3916,1,21,324,149,29.44,127.47,58,2,14,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,6.75,290.07,0.6514227997184028
24,ruturaj gaikwad,Retained,BATTER,6.0,780.0,Chennai Super Kings,Batsman,6.0,India,22,22,4,839,1,7,80,29,46.61,132.12,10,0,2,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.01,6.0,69.92,0.48006698513157225
25,dwayne bravo,2 Cr,ALL-ROUNDER,4.4,572.0,Chennai Super Kings,All-Rounder,4.4,West Indies,151,107,40,1537,0,5,119,65,22.94,130.25,77,0,8,148,485.3,2,4061,167,12,0,24.31,8.36,17.44,148,0.0,0.03,1123.52,0.11450791401300052
26,shivam dube,50 Lakh,ALL-ROUNDER,4.0,520.0,Chennai Super Kings,All-Rounder,4.0,India,24,22,4,399,0,1,24,22,22.16,120.54,5,0,0,11,15.4,0,130,4,0,0,32.5,8.29,23.5,11,0.01,1.0,74.88,0.02311814623335748
27,chris jordan,2 Cr,ALL-ROUNDER,3.6,468.0,Chennai Super Kings,All-Rounder,3.6,England,24,9,2,64,0,0,3,3,9.14,112.28,9,0,2,24,76.3,0,698,25,2,0,27.92,9.12,18.36,24,0.06,0.14,182.5,-0.06827162154628547
28,robin uthappa,2 Cr,BATTER,2.0,260.0,Chennai Super Kings,Batsman,2.0,India,193,186,17,4722,0,25,462,168,27.94,130.15,87,32,7,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,2.0,1180.5,-0.43383069266485735
29,mitchell santner,1 Cr,ALL-ROUNDER,1.9,247.0,Chennai Super Kings,All-Rounder,1.9,New Zealand,6,2,1,32,0,0,0,3,32.0,139.13,2,0,0,6,21.0,0,147,6,0,0,24.5,7.0,21.0,6,0.06,0.32,87.37,-0.4566781346097681
30,adam milne,1.5 Cr,BOWLER,1.9,247.0,Chennai Super Kings,Bowler,1.9,New Zealand,9,6,2,23,0,0,0,1,5.75,79.31,7,0,2,9,32.0,0,308,7,0,0,44.0,9.62,27.42,9,0.08,0.27,98.16,-0.4566781346097681
31,rajvardhan hangargekar,30 Lakh,ALL-ROUNDER,1.5,195.0,Chennai Super Kings,All-Rounder,1.5,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,1.5,1.5,0.0,-0.548067902389411
32,prashant solanki,20 Lakh,BOWLER,1.2,156.0,Chennai Super Kings,Bowler,1.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,1.2,1.2,0.0,-0.6166102282241434
33,devon conway,1 Cr,BATTER,1.0,130.0,Chennai Super Kings,Batsman,1.0,South Africa,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.6623051121139647
34,maheesh theekshana,50 Lakh,BOWLER,0.7,91.0,Chennai Super Kings,Bowler,0.7,Sri Lanka,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.7,0.7,0.0,-0.730847437948697
35,dwaine pretorius,50 Lakh,ALL-ROUNDER,0.5,65.0,Chennai Super Kings,All-Rounder,0.5,South Africa,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.5,0.5,0.0,-0.7765423218385185
36,simarjeet singh,20 Lakh,BOWLER,0.2,26.0,Chennai Super Kings,Bowler,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
37,tushar deshpande,20 Lakh,BOWLER,0.2,26.0,Chennai Super Kings,Bowler,0.2,India,5,2,1,21,0,0,2,1,21.0,175.0,1,0,0,5,17.0,0,192,3,0,0,64.0,11.29,34.0,5,0.01,0.07,427.5,-0.8450846476732506
38,subhranshu senapati,20 Lakh,BATTER,0.2,26.0,Chennai Super Kings,Batsman,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
39,mukesh choudhary,20 Lakh,BOWLER,0.2,26.0,Chennai Super Kings,Bowler,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
40,rishabh pant,Retained,WICKETKEEPER,16.0,2080.0,Delhi Capitals,Wicket-Keeper,16.0,India,84,84,13,2498,1,15,225,113,35.18,147.46,56,14,4,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.01,16.0,78.06,2.764811179622646
41,shardul thakur,2 Cr,BOWLER,10.75,1397.5,Delhi Capitals,Bowler,10.75,India,61,14,6,53,0,0,5,1,6.62,112.76,17,0,5,60,210.0,2,1867,67,5,0,27.86,8.89,18.8,60,0.2,0.16,158.28,1.5653204775148324
42,axar patel,Retained,ALL-ROUNDER,9.0,1170.0,Delhi Capitals,All-Rounder,9.0,India,109,78,23,953,0,0,55,44,17.32,125.23,44,0,7,108,382.3,2,2762,95,3,0,29.07,7.22,24.15,108,0.01,0.09,316.83,1.1654902434788943
