Index,Player,Base Price,TYPE,COST IN (CR.),Cost IN $ (000),Team
0,Rashid Khan,Draft Pick,BOWLER,15,1950,Gujarat Titans
1,Hardik Pandya,Draft Pick,ALL-ROUNDER,15,1950,Gujarat Titans
2,Lockie Ferguson,2 Cr,BOWLER,10,1300,Gujarat Titans
3,Rahul Tewatia,40 Lakh,ALL-ROUNDER,9,1170,Gujarat Titans
4,Shubman Gill,Draft Pick,BATTER,8,1040,Gujarat Titans
5,Mohammad Shami,2 Cr,BOWLER,6.25,812.5,Gujarat Titans
6,Yash Dayal,20 Lakh,BOWLER,3.2,416,Gujarat Titans
7,David Miller,1 Cr,BATTER,3,390,Gujarat Titans
8,R. Sai Kishore,20 Lakh,BOWLER,3,390,Gujarat Titans
9,Abhinav Sadarangani,20 Lakh,BATTER,2.6,338,Gujarat Titans
10,Matthew Wade,2 Cr,WICKETKEEPER,2.4,312,Gujarat Titans
11,Alzarri Joseph,75 Lakh,BOWLER,2.4,312,Gujarat Titans
12,Jason Roy,2 Cr,BATTER,2,260,Gujarat Titans
13,Wriddhiman Saha,1 Cr,WICKETKEEPER,1.9,247,Gujarat Titans
14,Jayant Yadav,1 Cr,ALL-ROUNDER,1.7,221,Gujarat Titans
15,Vijay Shankar,50 Lakh,ALL-ROUNDER,1.4,182,Gujarat Titans
16,Dominic Drakes,75 Lakh,ALL-ROUNDER,1.1,143,Gujarat Titans
17,Varun Aaron,50 Lakh,BOWLER,0.5,65,Gujarat Titans
18,Gurkeerat Singh,50 Lakh,ALL-ROUNDER,0.5,65,Gujarat Titans
19,Noor Ahmad,30 Lakh,BOWLER,0.3,39,Gujarat Titans
20,Darshan Nalkande,20 Lakh,ALL-ROUNDER,0.2,26,Gujarat Titans
21,Pradeep Sangwan,20 Lakh,ALL-ROUNDER,0.2,26,Gujarat Titans
22,Ravindra Jadeja,Retained,ALL-ROUNDER,16,2080,Chennai Super Kings
23,Deepak Chahar,2 Cr,BOWLER,14,1820,Chennai Super Kings
24,MS Dhoni,Retained,WICKETKEEPER,12,1560,Chennai Super Kings
25,Moeen Ali,Retained,ALL-ROUNDER,8,1040,Chennai Super Kings
26,Ambati Rayudu,2 Cr,WICKETKEEPER,6.75,877.5,Chennai Super Kings
27,Ruturaj Gaikwad,Retained,BATTER,6,780,Chennai Super Kings
28,Dwayne Bravo,2 Cr,ALL-ROUNDER,4.4,572,Chennai Super Kings
29,Shivam Dube,50 Lakh,ALL-ROUNDER,4,520,Chennai Super Kings
30,Chris Jordan,2 Cr,ALL-ROUNDER,3.6,468,Chennai Super Kings
31,Robin Uthappa,2 Cr,BATTER,2,260,Chennai Super Kings
32,Mitchell Santner,1 Cr,ALL-ROUNDER,1.9,247,Chennai Super Kings
33,Adam Milne,1.5 Cr,BOWLER,1.9,247,Chennai Super Kings
34,Rajvardhan Hangargekar,30 Lakh,ALL-ROUNDER,1.5,195,Chennai Super Kings
35,Prashant Solanki,20 Lakh,BOWLER,1.2,156,Chennai Super Kings
36,Devon Conway,1 Cr,BATTER,1,130,Chennai Super Kings
37,Maheesh Theekshana,50 Lakh,BOWLER,0.7,91,Chennai Super Kings
38,Dwaine Pretorius,50 Lakh,ALL-ROUNDER,0.5,65,Chennai Super Kings
39,K.Bhagath Varma,20 Lakh,ALL-ROUNDER,0.2,26,Chennai Super Kings
40,Simarjeet Singh,20 Lakh,BOWLER,0.2,26,Chennai Super Kings
41,N. Jagadeesan,20 Lakh,WICKETKEEPER,0.2,26,Chennai Super Kings
42,C.Hari Nishaanth,20 Lakh,BATTER,0.2,26,Chennai Super Kings
43,K.M. Asif,20 Lakh,BOWLER,0.2,26,Chennai Super Kings
44,Tushar Deshpande,20 Lakh,BOWLER,0.2,26,Chennai Super Kings
45,Subhranshu Senapati,20 Lakh,BATTER,0.2,26,Chennai Super Kings
46,Mukesh Choudhary,20 Lakh,BOWLER,0.2,26,Chennai Super Kings
47,Rishabh Pant,Retained,WICKETKEEPER,16,2080,Delhi Capitals
48,Shardul Thakur,2 Cr,BOWLER,10.75,1397.5,Delhi Capitals
49,Axar Patel,Retained,ALL-ROUNDER,9,1170,Delhi Capitals
50,Prithvi Shaw,Retained,BATTER,7.5,975,Delhi Capitals
51,Mitchell Marsh,2 Cr,ALL-ROUNDER,6.5,845,Delhi Capitals
52,Anrich Nortje,Retained,BOWLER,6.5,845,Delhi Capitals
53,David Warner,2 Cr,BATTER,6.25,812.5,Delhi Capitals
54,Syed Khaleel Ahmed,50 Lakh,BOWLER,5.25,682.5,Delhi Capitals
55,Chetan Sakariya,50 Lakh,BOWLER,4.2,546,Delhi Capitals
56,Rovman Powell,75 Lakh,BATTER,2.8,364,Delhi Capitals
57,K.S. Bharat,20 Lakh,WICKETKEEPER,2,260,Delhi Capitals
58,Mustafizur Rahman,2 Cr,BOWLER,2,260,Delhi Capitals
59,Kuldeep Yadav,1 Cr,BOWLER,2,260,Delhi Capitals
60,Kamlesh Nagarkoti,40 Lakh,ALL-ROUNDER,1.1,143,Delhi Capitals
61,Mandeep Singh,50 Lakh,BATTER,1.1,143,Delhi Capitals
62,Lalit Yadav,20 Lakh,ALL-ROUNDER,0.65,84.5,Delhi Capitals
63,Tim Seifert,50 Lakh,WICKETKEEPER,0.5,65,Delhi Capitals
64,Pravin Dubey,20 Lakh,ALL-ROUNDER,0.5,65,Delhi Capitals
65,Lungisani Ngidi,50 Lakh,BOWLER,0.5,65,Delhi Capitals
